region_code,code,count
84,1,0
32,2,0
84,3,0
93,4,0
93,5,0
93,6,0
84,7,0
44,8,0
76,9,0
44,10,0
76,11,0
76,12,0
93,13,0
28,14,0
84,15,0
75,16,0
75,17,0
24,18,0
75,19,0
27,21,0
53,22,0
75,23,0
75,24,0
27,25,0
84,26,0
28,27,0
24,28,0
53,29,0
76,30,0
76,31,0
76,32,0
75,33,0
76,34,0
53,35,0
24,36,0
24,37,0
84,38,0
27,39,0
75,40,0
24,41,0
84,42,0
84,43,0
52,44,0
24,45,0
76,46,0
75,47,0
76,48,0
52,49,0
28,50,0
44,51,0
44,52,0
52,53,0
44,54,0
44,55,0
53,56,0
44,57,0
27,58,0
32,59,0
32,60,0
28,61,0
32,62,0
84,63,0
75,64,0
76,65,0
76,66,0
44,67,0
44,68,0
84,69,0
27,70,0
27,71,0
52,72,0
84,73,0
84,74,0
11,75,3
28,76,1
11,77,0
11,78,1
75,79,0
32,80,0
76,81,0
76,82,0
93,83,0
93,84,0
52,85,0
75,86,0
75,87,0
44,88,0
27,89,0
27,90,0
11,91,0
11,92,0
11,93,0
11,94,0
1,971,0
2,972,0
3,973,0
4,974,0
COM,975,0
6,976,0
COM,977,0
COM,978,0
COM,984,0
COM,986,0
COM,987,0
COM,988,0
COM,989,0
94,2A,0
94,2B,0
